"tratado","referencia","controles","coef_tratado","se_hc1","ic95_inf","ic95_sup","p_valor","sig","n_obs","r2_adj"
"conflicto_activo","exterior","sin_controles",7.34903880102964,0.452678022580202,6.46178987677245,8.23628772528684,0.0000000000000000000000000000000000000000000000000000000000287194245626248,"***",290,0.437253245054836
"conflicto_activo","resto_colombia","sin_controles",1.2119753119095,0.275185565064373,0.672611604383334,1.75133901943568,0.0000106169536406794,"***",1037,0.0166851856861924
"conflicto_activo","resto_colombia","ipm_dnp",-0.654235055893134,0.24703569877254,-1.13842502548731,-0.170045086298955,0.00808876116199284,"**",1023,0.376793023711558
"conflicto_activo","resto_colombia","cat_ruralidad",0.789001972511308,0.266318424977476,0.267017859555456,1.31098608546716,0.0030502663317603,"**",1023,0.0780161839546079
"conflicto_activo","resto_colombia","ipm_dnp + cat_ruralidad",-0.656514365546248,0.24546206600321,-1.13762001491254,-0.175408716179956,0.00748170738479128,"**",1023,0.381640299882087
"conflicto_activo","resto_colombia + exterior","sin_controles",1.6786986419561,0.27756407814572,1.13467304879049,2.22272423512171,0.00000000146684148585338,"***",1104,0.0272782997263504
"conflicto_activo","resto_colombia + exterior","ipm_dnp",-0.654235055893134,0.24703569877254,-1.13842502548731,-0.170045086298955,0.00808876116199284,"**",1023,0.376793023711558
"conflicto_activo","resto_colombia + exterior","cat_ruralidad",0.789001972511308,0.266318424977476,0.267017859555456,1.31098608546716,0.0030502663317603,"**",1023,0.0780161839546079
"conflicto_activo","resto_colombia + exterior","ipm_dnp + cat_ruralidad",-0.656514365546248,0.24546206600321,-1.13762001491254,-0.175408716179956,0.00748170738479128,"**",1023,0.381640299882087
"control_armado","exterior","sin_controles",9.80600813030972,0.714138194654133,8.40629726878762,11.2057189918318,0.000000000000000000000000000000000000000000659876648153987,"***",152,0.52342292780491
"control_armado","resto_colombia","sin_controles",3.66894464118953,0.613348775891807,2.46678104044159,4.87110824193748,0.00000000220652151139479,"***",899,0.0678196420371924
"control_armado","resto_colombia","ipm_dnp",1.39275338957968,0.582784447146165,0.250495873173195,2.53501090598616,0.0168563593828751,"*",882,0.376062366137976
"control_armado","resto_colombia","cat_ruralidad",2.95084966026301,0.621376626218386,1.73295147287497,4.16874784765105,0.00000204535474209018,"***",882,0.117208750524735
"control_armado","resto_colombia","ipm_dnp + cat_ruralidad",1.48573584247918,0.587684137783247,0.333874932424015,2.63759675253434,0.0114675249428477,"*",882,0.379391174368485
"control_armado","resto_colombia + exterior","sin_controles",4.13566797123622,0.614379767075549,2.93148362776815,5.3398523147043,0.0000000000167978138081321,"***",966,0.0714166615196636
"control_armado","resto_colombia + exterior","ipm_dnp",1.39275338957968,0.582784447146165,0.250495873173195,2.53501090598616,0.0168563593828751,"*",882,0.376062366137976
"control_armado","resto_colombia + exterior","cat_ruralidad",2.95084966026301,0.621376626218386,1.73295147287497,4.16874784765105,0.00000204535474209018,"***",882,0.117208750524735
"control_armado","resto_colombia + exterior","ipm_dnp + cat_ruralidad",1.48573584247918,0.587684137783247,0.333874932424015,2.63759675253434,0.0114675249428477,"*",882,0.379391174368485
