"termino","estimacion","error_estandar_hc1","estadistico_t","p_valor","n_observaciones"
"(Intercept)",3.17466600024318,0.641893926901146,4.94577977325542,0.000000758396608189573,1101
"alta_exposicionTRUE",0.0964827175903765,0.32936007984931,0.29293992652212,0.769568069884832,1101
"ipm_dnp",0.144385290024592,0.00942858139212378,15.313575183771,0.0000000000000000000000000000000000000000000000000000620569029720741,1101
"ha_coca",0.000199157563946658,0.000197623426001467,1.00776293568142,0.31356828329723,1101
"pdet",1.14718321629366,0.35661254296872,3.21688969979468,0.00129588408834403,1101
"cat_ruralidadIntermedio",-0.350134029268821,0.30966214905066,-1.13069689124821,0.258182690261917,1101
"cat_ruralidadRural",-0.8015130283745,0.365189718110571,-2.19478530918502,0.0281790017950717,1101
"cat_ruralidadRural disperso",-1.04195881786374,0.433456554062782,-2.40383680462891,0.0162240141813873,1101
"pct22_fajardo",-0.199560714706375,0.126516711967878,-1.57734667303908,0.114715778575233,1101
"tipologia_d2conflicto_activo",-0.606151145863232,0.272762028475523,-2.2222710002966,0.026264996733285,1101
"tipologia_d2control_armado",0.871527104879601,0.61137086135766,1.42552934718579,0.154004243086855,1101
"tipologia_d2corredor",-0.539302978447203,0.217795185617811,-2.47619329562949,0.0132791663036459,1101
"tipologia_d2produccion_intensiva",0.188363020754242,0.617428609734648,0.305076599601036,0.760307812998227,1101
